# x real_u imag_u abs_u
0.06993007 0.03777036 0.05878486 0.06987317
0.07392607 0.03992484 0.06213804 0.07385885
0.07792208 0.04207868 0.06549023 0.07784334
0.08191808 0.04423185 0.06884137 0.08182659
0.08591409 0.04638431 0.07219141 0.08580854
0.08991009 0.04853604 0.07554030 0.08978911
0.09390609 0.05068699 0.07888799 0.09376825
0.09790210 0.05283712 0.08223441 0.09774589
0.10189810 0.05498642 0.08557952 0.10172198
0.10589411 0.05713484 0.08892326 0.10569644
0.10989011 0.05928234 0.09226559 0.10966921
0.11388611 0.06142890 0.09560644 0.11364023
0.11788212 0.06357448 0.09894576 0.11760943
0.12187812 0.06571904 0.10228351 0.12157676
0.12587413 0.06786255 0.10561962 0.12554214
0.12987013 0.07000498 0.10895404 0.12950552
0.13386613 0.07214629 0.11228673 0.13346683
0.13786214 0.07428645 0.11561762 0.13742602
0.14185814 0.07642542 0.11894666 0.14138300
0.14585415 0.07856317 0.12227381 0.14533773
0.14985015 0.08069967 0.12559900 0.14929014
0.15384615 0.08283488 0.12892219 0.15324017
0.15784216 0.08496877 0.13224332 0.15718774
0.16183816 0.08710130 0.13556234 0.16113281
0.16583417 0.08923244 0.13887919 0.16507531
0.16983017 0.09136215 0.14219382 0.16901517
0.17382617 0.09349041 0.14550619 0.17295233
0.17782218 0.09561717 0.14881623 0.17688672
0.18181818 0.09774240 0.15212389 0.18081830
0.18581419 0.09986608 0.15542913 0.18474698
0.18981019 0.10198816 0.15873188 0.18867272
0.19380619 0.10410861 0.16203210 0.19259544
0.19780220 0.10622740 0.16532973 0.19651509
0.20179820 0.10834449 0.16862473 0.20043160
0.20579421 0.11045986 0.17191703 0.20434491
0.20979021 0.11257345 0.17520658 0.20825496
0.21378621 0.11468526 0.17849334 0.21216168
0.21778222 0.11679523 0.18177724 0.21606501
0.22177822 0.11890333 0.18505825 0.21996490
0.22577423 0.12100954 0.18833629 0.22386127
0.22977023 0.12311381 0.19161134 0.22775407
0.23376623 0.12521612 0.19488332 0.23164323
0.23776224 0.12731643 0.19815219 0.23552869
0.24175824 0.12941470 0.20141789 0.23941039
0.24575425 0.13151091 0.20468038 0.24328826
0.24975025 0.13360502 0.20793960 0.24716225
0.25374625 0.13569700 0.21119550 0.25103230
0.25774226 0.13778681 0.21444803 0.25489834
0.26173826 0.13987442 0.21769713 0.25876030
0.26573427 0.14195979 0.22094276 0.26261814
0.26973027 0.14404290 0.22418486 0.26647178
0.27372627 0.14612371 0.22742338 0.27032117
0.27772228 0.14820218 0.23065827 0.27416624
0.28171828 0.15027829 0.23388947 0.27800693
0.28571429 0.15235200 0.23711694 0.28184318
0.28971029 0.15442328 0.24034063 0.28567493
0.29370629 0.15649209 0.24356048 0.28950212
0.29770230 0.15855840 0.24677643 0.29332469
0.30169830 0.16062218 0.24998845 0.29714257
0.30569431 0.16268339 0.25319647 0.30095571
0.30969031 0.16474201 0.25640046 0.30476405
0.31368631 0.16679800 0.25960034 0.30856751
0.31768232 0.16885132 0.26279609 0.31236605
0.32167832 0.17090195 0.26598763 0.31615960
0.32567433 0.17294984 0.26917493 0.31994811
0.32967033 0.17499498 0.27235793 0.32373150
0.33366633 0.17703732 0.27553658 0.32750973
0.33766234 0.17907684 0.27871083 0.33128272
0.34165834 0.18111349 0.28188063 0.33505043
0.34565435 0.18314725 0.28504593 0.33881278
0.34965035 0.18517809 0.28820668 0.34256973
0.35364635 0.18720597 0.29136283 0.34632120
0.35764236 0.18923087 0.29451432 0.35006715
0.36163836 0.19125274 0.29766111 0.35380750
0.36563437 0.19327155 0.30080315 0.35754221
0.36963037 0.19528729 0.30394039 0.36127120
0.37362637 0.19729990 0.30707277 0.36499443
0.37762238 0.19930936 0.31020025 0.36871183
0.38161838 0.20131564 0.31332277 0.37242334
0.38561439 0.20331870 0.31644029 0.37612891
0.38961039 0.20531852 0.31955276 0.37982846
0.39360639 0.20731506 0.32266013 0.38352196
0.39760240 0.20930829 0.32576234 0.38720933
0.40159840 0.21129818 0.32885935 0.39089051
0.40559441 0.21328469 0.33195111 0.39456546
0.40959041 0.21526780 0.33503757 0.39823410
0.41358641 0.21724747 0.33811868 0.40189639
0.41758242 0.21922367 0.34119439 0.40555225
0.42157842 0.22119637 0.34426466 0.40920165
0.42557443 0.22316553 0.34732942 0.41284450
0.42957043 0.22513114 0.35038864 0.41648077
0.43356643 0.22709315 0.35344227 0.42011038
0.43756244 0.22905153 0.35649025 0.42373329
0.44155844 0.23100626 0.35953254 0.42734943
0.44555445 0.23295729 0.36256908 0.43095875
0.44955045 0.23490461 0.36559984 0.43456118
0.45354645 0.23684818 0.36862476 0.43815668
0.45754246 0.23878796 0.37164380 0.44174518
0.46153846 0.24072393 0.37465689 0.44532662
0.46553447 0.24265606 0.37766401 0.44890096
0.46953047 0.24458431 0.38066510 0.45246812
0.47352647 0.24650866 0.38366011 0.45602807
0.47752248 0.24842907 0.38664899 0.45958072
0.48151848 0.25034551 0.38963169 0.46312605
0.48551449 0.25225796 0.39260818 0.46666397
0.48951049 0.25416638 0.39557840 0.47019445
0.49350649 0.25607074 0.39854230 0.47371741
0.49750250 0.25797101 0.40149983 0.47723281
0.50149850 0.25986716 0.40445096 0.48074059
0.50549451 0.26175916 0.40739562 0.48424070
0.50949051 0.26364698 0.41033379 0.48773307
0.51348651 0.26553060 0.41326540 0.49121765
0.51748252 0.26740997 0.41619041 0.49469440
0.52147852 0.26928507 0.41910877 0.49816324
0.52547453 0.27115587 0.42202044 0.50162412
0.52947053 0.27302234 0.42492538 0.50507700
0.53346653 0.27488446 0.42782352 0.50852181
0.53746254 0.27674218 0.43071484 0.51195850
0.54145854 0.27859548 0.43359928 0.51538702
0.54545455 0.28044434 0.43647679 0.51880730
0.54945055 0.28228872 0.43934734 0.52221931
0.55344655 0.28412859 0.44221087 0.52562297
0.55744256 0.28596392 0.44506734 0.52901824
0.56143856 0.28779469 0.44791670 0.53240506
0.56543457 0.28962086 0.45075891 0.53578338
0.56943057 0.29144240 0.45359392 0.53915315
0.57342657 0.29325930 0.45642169 0.54251431
0.57742258 0.29507150 0.45924217 0.54586680
0.58141858 0.29687900 0.46205532 0.54921058
0.58541459 0.29868176 0.46486109 0.55254559
0.58941059 0.30047975 0.46765943 0.55587177
0.59340659 0.30227294 0.47045031 0.55918908
0.59740260 0.30406130 0.47323368 0.56249746
0.60139860 0.30584481 0.47600949 0.56579686
0.60539461 0.30762343 0.47877770 0.56908722
0.60939061 0.30939714 0.48153826 0.57236849
0.61338661 0.31116592 0.48429114 0.57564063
0.61738262 0.31292972 0.48703628 0.57890357
0.62137862 0.31468852 0.48977365 0.58215727
0.62537463 0.31644231 0.49250319 0.58540168
0.62937063 0.31819103 0.49522487 0.58863673
0.63336663 0.31993468 0.49793864 0.59186239
0.63736264 0.32167322 0.50064446 0.59507860
0.64135864 0.32340662 0.50334229 0.59828530
0.64535465 0.32513486 0.50603208 0.60148245
0.64935065 0.32685790 0.50871379 0.60467000
0.65334665 0.32857573 0.51138737 0.60784789
0.65734266 0.33028831 0.51405279 0.61101607
0.66133866 0.33199561 0.51671000 0.61417450
0.66533467 0.33369762 0.51935896 0.61732312
0.66933067 0.33539429 0.52199963 0.62046188
0.67332667 0.33708562 0.52463196 0.62359074
0.67732268 0.33877155 0.52725592 0.62670964
0.68131868 0.34045208 0.52987146 0.62981853
0.68531469 0.34212717 0.53247853 0.63291736
0.68931069 0.34379680 0.53507710 0.63600609
0.69330669 0.34546094 0.53766713 0.63908466
0.69730270 0.34711956 0.54024857 0.64215303
0.70129870 0.34877264 0.54282139 0.64521114
0.70529471 0.35042015 0.54538554 0.64825895
0.70929071 0.35206207 0.54794098 0.65129641
0.71328671 0.35369836 0.55048767 0.65432347
0.71728272 0.35532900 0.55302557 0.65734008
0.72127872 0.35695398 0.55555463 0.66034619
0.72527473 0.35857325 0.55807483 0.66334176
0.72927073 0.36018679 0.56058612 0.66632674
0.73326673 0.36179459 0.56308845 0.66930108
0.73726274 0.36339660 0.56558180 0.67226473
0.74125874 0.36499282 0.56806611 0.67521764
0.74525475 0.36658320 0.57054135 0.67815977
0.74925075 0.36816774 0.57300748 0.68109108
0.75324675 0.36974639 0.57546446 0.68401151
0.75724276 0.37131914 0.57791226 0.68692101
0.76123876 0.37288596 0.58035082 0.68981955
0.76523477 0.37444683 0.58278012 0.69270707
0.76923077 0.37600171 0.58520011 0.69558353
0.77322677 0.37755060 0.58761075 0.69844889
0.77722278 0.37909345 0.59001202 0.70130309
0.78121878 0.38063025 0.59240386 0.70414609
0.78521479 0.38216097 0.59478624 0.70697785
0.78921079 0.38368559 0.59715913 0.70979832
0.79320679 0.38520409 0.59952248 0.71260746
0.79720280 0.38671643 0.60187626 0.71540522
0.80119880 0.38822260 0.60422042 0.71819155
0.80519481 0.38972256 0.60655494 0.72096641
0.80919081 0.39121631 0.60887977 0.72372977
0.81318681 0.39270381 0.61119488 0.72648156
0.81718282 0.39418503 0.61350023 0.72922176
0.82117882 0.39565997 0.61579579 0.73195031
0.82517483 0.39712858 0.61808151 0.73466718
0.82917083 0.39859086 0.62035736 0.73737231
0.83316683 0.40004676 0.62262330 0.74006567
0.83716284 0.40149629 0.62487931 0.74274721
0.84115884 0.40293940 0.62712533 0.74541689
0.84515485 0.40437607 0.62936134 0.74807467
0.84915085 0.40580629 0.63158730 0.75072050
0.85314685 0.40723003 0.63380318 0.75335434
0.85714286 0.40864726 0.63600894 0.75597616
0.86113886 0.41005798 0.63820454 0.75858590
0.86513487 0.41146214 0.64038995 0.76118353
0.86913087 0.41285973 0.64256513 0.76376901
0.87312687 0.41425073 0.64473005 0.76634229
0.87712288 0.41563512 0.64688468 0.76890333
0.88111888 0.41701286 0.64902898 0.77145210
0.88511489 0.41838395 0.65116291 0.77398855
0.88911089 0.41974836 0.65328645 0.77651263
0.89310689 0.42110607 0.65539955 0.77902432
0.89710290 0.42245705 0.65750219 0.78152357
0.90109890 0.42380129 0.65959433 0.78401034
0.90509491 0.42513875 0.66167594 0.78648459
0.90909091 0.42646943 0.66374699 0.78894628
0.91308691 0.42779330 0.66580743 0.79139538
0.91708292 0.42911034 0.66785724 0.79383183
0.92107892 0.43042053 0.66989639 0.79625562
0.92507493 0.43172384 0.67192484 0.79866668
0.92907093 0.43302026 0.67394256 0.80106499
0.93306693 0.43430977 0.67594952 0.80345052
0.93706294 0.43559234 0.67794569 0.80582321
0.94105894 0.43686796 0.67993103 0.80818303
0.94505495 0.43813660 0.68190551 0.81052995
0.94905095 0.43939824 0.68386911 0.81286393
0.95304695 0.44065286 0.68582178 0.81518493
0.95704296 0.44190045 0.68776351 0.81749291
0.96103896 0.44314099 0.68969425 0.81978783
0.96503497 0.44437445 0.69161398 0.82206967
0.96903097 0.44560081 0.69352266 0.82433838
0.97302697 0.44682005 0.69542027 0.82659393
0.97702298 0.44803217 0.69730678 0.82883627
0.98101898 0.44923712 0.69918215 0.83106538
0.98501499 0.45043491 0.70104636 0.83328123
0.98901099 0.45162550 0.70289937 0.83548376
0.99300699 0.45280888 0.70474116 0.83767296
0.99700300 0.45398503 0.70657170 0.83984878
1.00099900 0.45515393 0.70839095 0.84201118
1.00499500 0.45631556 0.71019889 0.84416015
1.00899101 0.45746991 0.71199549 0.84629563
1.01298701 0.45861695 0.71378072 0.84841760
1.01698302 0.45975666 0.71555456 0.85052602
1.02097902 0.46088904 0.71731696 0.85262086
1.02497502 0.46201406 0.71906792 0.85470209
1.02897103 0.46313170 0.72080739 0.85676967
1.03296703 0.46424194 0.72253535 0.85882356
1.03696304 0.46534477 0.72425178 0.86086375
1.04095904 0.46644017 0.72595663 0.86289018
1.04495504 0.46752812 0.72764990 0.86490284
1.04895105 0.46860861 0.72933155 0.86690169
1.05294705 0.46968161 0.73100155 0.86888669
1.05694306 0.47074712 0.73265988 0.87085782
1.06093906 0.47180510 0.73430651 0.87281505
1.06493506 0.47285556 0.73594142 0.87475834
1.06893107 0.47389846 0.73756457 0.87668766
1.07292707 0.47493379 0.73917595 0.87860298
1.07692308 0.47596154 0.74077552 0.88050427
1.08091908 0.47698170 0.74236326 0.88239150
1.08491508 0.47799423 0.74393915 0.88426464
1.08891109 0.47899913 0.74550316 0.88612366
1.09290709 0.47999639 0.74705527 0.88796853
1.09690310 0.48098597 0.74859545 0.88979922
1.10089910 0.48196788 0.75012367 0.89161570
1.10489510 0.48294209 0.75163992 0.89341795
1.10889111 0.48390860 0.75314416 0.89520593
1.11288711 0.48486737 0.75463638 0.89697962
1.11688312 0.48581840 0.75611655 0.89873898
1.12087912 0.48676167 0.75758464 0.90048399
1.12487512 0.48769717 0.75904064 0.90221462
1.12887113 0.48862489 0.76048451 0.90393085
1.13286713 0.48954480 0.76191625 0.90563264
1.13686314 0.49045689 0.76333581 0.90731997
1.14085914 0.49136115 0.76474319 0.90899281
1.14485514 0.49225757 0.76613836 0.91065114
1.14885115 0.49314613 0.76752129 0.91229492
1.15284715 0.49402681 0.76889196 0.91392414
1.15684316 0.49489960 0.77025036 0.91553877
1.16083916 0.49576449 0.77159646 0.91713877
1.16483516 0.49662146 0.77293024 0.91872413
1.16883117 0.49747050 0.77425168 0.92029482
1.17282717 0.49831160 0.77556075 0.92185082
1.17682318 0.49914475 0.77685744 0.92339209
1.18081918 0.49996992 0.77814172 0.92491862
1.18481518 0.50078711 0.77941358 0.92643039
1.18881119 0.50159630 0.78067300 0.92792735
1.19280719 0.50239748 0.78191994 0.92940950
1.19680320 0.50319064 0.78315440 0.93087681
1.20079920 0.50397577 0.78437636 0.93232926
1.20479520 0.50475284 0.78558579 0.93376682
1.20879121 0.50552186 0.78678268 0.93518946
1.21278721 0.50628281 0.78796700 0.93659718
1.21678322 0.50703567 0.78913874 0.93798994
1.22077922 0.50778043 0.79029788 0.93936772
1.22477522 0.50851709 0.79144440 0.94073050
1.22877123 0.50924563 0.79257828 0.94207826
1.23276723 0.50996603 0.79369951 0.94341097
1.23676324 0.51067829 0.79480806 0.94472863
1.24075924 0.51138240 0.79590393 0.94603119
1.24475524 0.51207834 0.79698708 0.94731865
1.24875125 0.51276610 0.79805750 0.94859099
1.25274725 0.51344568 0.79911519 0.94984817
1.25674326 0.51411706 0.80016011 0.95109019
1.26073926 0.51478023 0.80119226 0.95231702
1.26473526 0.51543517 0.80221161 0.95352865
1.26873127 0.51608189 0.80321815 0.95472505
1.27272727 0.51672037 0.80421187 0.95590620
1.27672328 0.51735059 0.80519274 0.95707209
1.28071928 0.51797256 0.80616076 0.95822270
1.28471528 0.51858625 0.80711590 0.95935800
1.28871129 0.51919166 0.80805816 0.96047799
1.29270729 0.51978879 0.80898751 0.96158264
1.29670330 0.52037761 0.80990395 0.96267194
1.30069930 0.52095812 0.81080745 0.96374586
1.30469530 0.52153032 0.81169801 0.96480440
1.30869131 0.52209418 0.81257560 0.96584753
1.31268731 0.52264971 0.81344022 0.96687523
1.31668332 0.52319689 0.81429185 0.96788750
1.32067932 0.52373572 0.81513048 0.96888431
1.32467532 0.52426619 0.81595609 0.96986565
1.32867133 0.52478828 0.81676867 0.97083150
1.33266733 0.52530200 0.81756821 0.97178186
1.33666334 0.52580733 0.81835470 0.97271669
1.34065934 0.52630426 0.81912812 0.97363599
1.34465534 0.52679278 0.81988846 0.97453975
1.34865135 0.52727290 0.82063570 0.97542794
1.35264735 0.52774459 0.82136984 0.97630056
1.35664336 0.52820786 0.82209087 0.97715758
1.36063936 0.52866269 0.82279877 0.97799901
1.36463536 0.52910909 0.82349353 0.97882481
1.36863137 0.52954703 0.82417514 0.97963499
1.37262737 0.52997652 0.82484359 0.98042953
1.37662338 0.53039754 0.82549887 0.98120841
1.38061938 0.53081009 0.82614097 0.98197162
1.38461538 0.53121417 0.82676988 0.98271915
1.38861139 0.53160977 0.82738558 0.98345099
1.39260739 0.53199688 0.82798807 0.98416712
1.39660340 0.53237549 0.82857734 0.98486754
1.40059940 0.53274560 0.82915338 0.98555224
1.40459540 0.53310721 0.82971618 0.98622119
1.40859141 0.53346030 0.83026574 0.98687440
1.41258741 0.53380487 0.83080203 0.98751185
1.41658342 0.53414092 0.83132506 0.98813353
1.42057942 0.53446844 0.83183481 0.98873943
1.42457542 0.53478743 0.83233128 0.98932955
1.42857143 0.53509787 0.83281446 0.98990386
1.43256743 0.53539978 0.83328434 0.99046237
1.43656344 0.53569313 0.83374091 0.99100507
1.44055944 0.53597793 0.83418418 0.99153194
1.44455544 0.53625417 0.83461412 0.99204297
1.44855145 0.53652184 0.83503073 0.99253817
1.45254745 0.53678095 0.83543401 0.99301751
1.45654346 0.53703149 0.83582395 0.99348100
1.46053946 0.53727346 0.83620055 0.99392863
1.46453546 0.53750684 0.83656379 0.99436039
1.46853147 0.53773164 0.83691367 0.99477626
1.47252747 0.53794786 0.83725019 0.99517625
1.47652348 0.53815548 0.83757334 0.99556036
1.48051948 0.53835451 0.83788312 0.99592856
1.48451548 0.53854495 0.83817951 0.99628086
1.48851149 0.53872678 0.83846252 0.99661725
1.49250749 0.53890001 0.83873215 0.99693773
1.49650350 0.53906464 0.83898838 0.99724229
1.50049950 0.53922066 0.83923121 0.99753093
1.50449550 0.53936807 0.83946064 0.99780363
1.50849151 0.53950687 0.83967667 0.99806041
1.51248751 0.53963705 0.83987929 0.99830124
1.51648352 0.53975861 0.84006850 0.99852614
1.52047952 0.53987156 0.84024430 0.99873509
1.52447552 0.53997589 0.84040667 0.99892809
1.52847153 0.54007159 0.84055563 0.99910515
1.53246753 0.54015867 0.84069117 0.99926624
1.53646354 0.54023712 0.84081328 0.99941139
1.54045954 0.54030695 0.84092197 0.99954057
1.54445554 0.54036815 0.84101722 0.99965379
1.54845155 0.54042072 0.84109905 0.99975105
1.55244755 0.54046466 0.84116745 0.99983235
1.55644356 0.54049997 0.84122242 0.99989768
1.56043956 0.54052665 0.84126395 0.99994704
1.56443556 0.54054470 0.84129205 0.99998044
1.56843157 0.54055412 0.84130671 0.99999787
1.57242757 0.54055490 0.84130795 0.99999933
1.57642358 0.54054706 0.84129574 0.99998483
1.58041958 0.54053058 0.84127011 0.99995435
1.58441558 0.54050547 0.84123104 0.99990791
1.58841159 0.54047173 0.84117854 0.99984550
1.59240759 0.54042936 0.84111260 0.99976713
1.59640360 0.54037836 0.84103324 0.99967279
1.60039960 0.54031874 0.84094044 0.99956249
1.60439560 0.54025048 0.84083422 0.99943622
1.60839161 0.54017360 0.84071457 0.99929400
1.61238761 0.54008809 0.84058150 0.99913582
1.61638362 0.53999396 0.84043500 0.99896169
1.62037962 0.53989120 0.84027508 0.99877161
1.62437562 0.53977983 0.84010175 0.99856558
1.62837163 0.53965983 0.83991500 0.99834360
1.63236763 0.53953122 0.83971484 0.99810568
1.63636364 0.53939399 0.83950127 0.99785182
1.64035964 0.53924815 0.83927430 0.99758203
1.64435564 0.53909370 0.83903392 0.99729631
1.64835165 0.53893064 0.83878015 0.99699467
1.65234765 0.53875897 0.83851298 0.99667710
1.65634366 0.53857870 0.83823242 0.99634362
1.66033966 0.53838983 0.83793848 0.99599423
1.66433566 0.53819237 0.83763116 0.99562894
1.66833167 0.53798631 0.83731046 0.99524775
1.67232767 0.53777166 0.83697639 0.99485066
1.67632368 0.53754842 0.83662896 0.99443769
1.68031968 0.53731660 0.83626817 0.99400884
1.68431568 0.53707620 0.83589402 0.99356412
1.68831169 0.53682722 0.83550653 0.99310353
1.69230769 0.53656967 0.83510570 0.99262709
1.69630370 0.53630355 0.83469153 0.99213479
1.70029970 0.53602887 0.83426403 0.99162665
1.70429570 0.53574563 0.83382321 0.99110268
1.70829171 0.53545384 0.83336908 0.99056288
1.71228771 0.53515349 0.83290164 0.99000727
1.71628372 0.53484460 0.83242089 0.98943584
1.72027972 0.53452717 0.83192686 0.98884862
1.72427572 0.53420120 0.83141954 0.98824561
1.72827173 0.53386671 0.83089895 0.98762681
1.73226773 0.53352368 0.83036509 0.98699225
1.73626374 0.53317214 0.82981797 0.98634193
1.74025974 0.53281209 0.82925760 0.98567585
1.74425574 0.53244353 0.82868398 0.98499404
1.74825175 0.53206646 0.82809714 0.98429650
1.75224775 0.53168090 0.82749707 0.98358324
1.75624376 0.53128685 0.82688379 0.98285427
1.76023976 0.53088431 0.82625730 0.98210961
1.76423576 0.53047330 0.82561762 0.98134927
1.76823177 0.53005382 0.82496476 0.98057326
1.77222777 0.52962587 0.82429873 0.97978159
1.77622378 0.52918947 0.82361953 0.97897427
1.78021978 0.52874462 0.82292718 0.97815132
1.78421578 0.52829132 0.82222169 0.97731276
1.78821179 0.52782959 0.82150307 0.97645858
1.79220779 0.52735943 0.82077133 0.97558882
1.79620380 0.52688085 0.82002649 0.97470348
1.80019980 0.52639385 0.81926855 0.97380257
1.80419580 0.52589845 0.81849753 0.97288611
1.80819181 0.52539465 0.81771344 0.97195412
1.81218781 0.52488247 0.81691629 0.97100661
1.81618382 0.52436190 0.81610610 0.97004359
1.82017982 0.52383296 0.81528288 0.96906508
1.82417582 0.52329565 0.81444664 0.96807110
1.82817183 0.52274999 0.81359739 0.96706166
1.83216783 0.52219598 0.81273515 0.96603678
1.83616384 0.52163363 0.81185994 0.96499648
1.84015984 0.52106295 0.81097176 0.96394076
1.84415584 0.52048395 0.81007063 0.96286965
1.84815185 0.51989664 0.80915656 0.96178317
1.85214785 0.51930103 0.80822958 0.96068133
1.85614386 0.51869713 0.80728969 0.95956415
1.86013986 0.51808494 0.80633690 0.95843164
1.86413586 0.51746448 0.80537125 0.95728383
1.86813187 0.51683576 0.80439273 0.95612074
1.87212787 0.51619879 0.80340137 0.95494238
1.87612388 0.51555357 0.80239717 0.95374877
1.88011988 0.51490012 0.80138017 0.95253993
1.88411588 0.51423845 0.80035037 0.95131588
1.88811189 0.51356857 0.79930779 0.95007664
1.89210789 0.51289048 0.79825245 0.94882223
1.89610390 0.51220421 0.79718436 0.94755266
1.90009990 0.51150976 0.79610354 0.94626797
1.90409590 0.51080714 0.79501000 0.94496817
1.90809191 0.51009636 0.79390378 0.94365328
1.91208791 0.50937744 0.79278487 0.94232332
1.91608392 0.50865039 0.79165331 0.94097831
1.92007992 0.50791521 0.79050910 0.93961828
1.92407592 0.50717192 0.78935228 0.93824324
1.92807193 0.50642053 0.78818285 0.93685322
1.93206793 0.50566106 0.78700083 0.93544824
1.93606394 0.50489351 0.78580624 0.93402832
1.94005994 0.50411790 0.78459911 0.93259349
1.94405594 0.50333424 0.78337945 0.93114377
1.94805195 0.50254254 0.78214728 0.92967918
1.95204795 0.50174282 0.78090262 0.92819975
1.95604396 0.50093509 0.77964549 0.92670549
1.96003996 0.50011936 0.77837592 0.92519643
1.96403596 0.49929564 0.77709391 0.92367260
1.96803197 0.49846395 0.77579949 0.92213403
1.97202797 0.49762430 0.77449269 0.92058072
1.97602398 0.49677670 0.77317352 0.91901272
1.98001998 0.49592117 0.77184200 0.91743004
1.98401598 0.49505772 0.77049816 0.91583272
1.98801199 0.49418637 0.76914202 0.91422077
1.99200799 0.49330712 0.76777359 0.91259422
1.99600400 0.49242000 0.76639290 0.91095309
2.00000000 0.49152502 0.76499998 0.90929743
