0 0.01
1 0.011978
2 0.0139521
3 0.0159222
4 0.0178884
5 0.0198507
6 0.021809
7 0.0237634
8 0.0257139
9 0.0276606
10 0.0296033
11 0.0315422
12 0.0334771
13 0.0354082
14 0.0373355
15 0.0392589
16 0.0411785
17 0.0430942
18 0.0450061
19 0.0469142
20 0.0488184
21 0.0507189
22 0.0526156
23 0.0545084
24 0.0563975
25 0.0582828
26 0.0601644
27 0.0620422
28 0.0639162
29 0.0657865
30 0.0676531
31 0.0695159
32 0.071375
33 0.0732304
34 0.0750821
35 0.0769301
36 0.0787744
37 0.080615
38 0.0824519
39 0.0842852
40 0.0861148
41 0.0879407
42 0.089763
43 0.0915817
44 0.0933967
45 0.0952081
46 0.0970158
47 0.09882
48 0.100621
49 0.102418
50 0.104211
